TEHBInnTier1FamilyMOOP,State
"$12,700 ",AK
"$8,000 ",AK
"$8,000 ",AK
"$12,700 ",AK
$0 ,AK
"$9,500 ",AK
"$12,000 ",AK
$0 ,AK
"$9,500 ",AK
"$12,000 ",AK
"$12,700 ",AK
"$12,700 ",AK
$0 ,AK
,AK
,AK
,AK
,AK
,AK
"$12,700 ",AK
"$12,000 ",AK
"$9,500 ",AK
"$12,000 ",AK
"$12,700 ",AK
"$10,400 ",AK
"$2,500 ",AK
"$1,000 ",AK
,AK
"$9,500 ",AK
$0 ,AK
"$12,700 ",AK
"$10,400 ",AK
"$2,500 ",AK
"$1,000 ",AK
"$12,700 ",AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
"$2,500 ",AK
"$12,700 ",AK
"$1,000 ",AK
"$12,000 ",AK
"$12,700 ",AK
"$12,000 ",AK
$0 ,AK
"$12,000 ",AK
"$9,500 ",AK
$0 ,AK
"$9,500 ",AK
"$12,700 ",AK
"$12,700 ",AK
,AK
"$8,000 ",AK
"$12,700 ",AK
"$8,000 ",AK
"$12,700 ",AK
"$12,700 ",AK
"$12,700 ",AK
"$12,700 ",AK
$0 ,AK
"$8,000 ",AK
"$12,700 ",AK
"$8,000 ",AK
"$8,000 ",AK
"$8,000 ",AK
"$12,700 ",AK
"$12,000 ",AK
"$12,700 ",AK
"$12,000 ",AK
$0 ,AK
"$12,700 ",AK
"$12,000 ",AK
"$12,700 ",AK
"$10,000 ",AK
"$12,700 ",AK
"$12,700 ",AK
"$10,000 ",AK
"$2,500 ",AK
"$1,000 ",AK
"$12,700 ",AK
"$12,700 ",AK
$0 ,AK
"$12,700 ",AK
"$12,700 ",AK
"$12,700 ",AK
"$12,700 ",AK
$0 ,AK
"$12,700 ",AK
"$12,700 ",AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
,AK
"$1,500 ",AL
"$7,000 ",AL
$0 ,AL
"$3,000 ",AL
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
"$12,600 ",AL
"$12,600 ",AL
,AL
,AL
,AL
$0 ,AZ
"$6,000 ",AZ
"$2,500 ",AZ
"$6,000 ",AZ
"$3,500 ",AZ
"$8,000 ",AZ
,AL
,AL
,AL
,AL
,AL
,AL
"$7,000 ",AL
"$7,000 ",AL
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
"$12,600 ",AL
"$9,500 ",AL
"$6,000 ",AL
"$10,000 ",AL
,AL
,AL
,AL
,AL
,AL
,AL
,AL
,AL
,AL
"$2,900 ",AL
"$1,500 ",AL
,AZ
,AZ
,AZ
"$12,600 ",AZ
$0 ,AZ
,AZ
,AZ
,AZ
"$7,000 ",AL
$0 ,AL
"$12,000 ",AL
"$10,000 ",AL
,AZ
,AZ
,AZ
,AZ
,AK
,AK
,AK
,AL
,AL
