Area,2014
Alabama,37643
Alaska,65946
Arizona,39129
Arkansas,36989
California,54196
Colorado,52167
Connecticut,63642
Delaware,60806
Florida,38664
Georgia,42959
Hawaii,48914
Idaho,35081
Illinois,51968
Indiana,43694
Iowa,49099
Kansas,44974
Kentucky,38726
Louisiana,46084
Maine,37339
Maryland,53454
Massachusetts,62122
Michigan,41788
Minnesota,52970
Mississippi,31607
Missouri,42069
Montana,38435
Nebraska,52508
Nevada,43571
New Hampshire,49006
New Jersey,56498
New Mexico,39711
New York,63633
North Carolina,44017
North Dakota,66910
Ohio,45131
Oklahoma,41884
Oregon,50568
Pennsylvania,47215
Rhode Island,47335
South Carolina,35898
South Dakota,47517
Tennessee,41577
Texas,54055
Utah,43007
Vermont,42957
Virginia,51223
Washington,54710
West Virginia,36350
Wisconsin,46114
Wyoming,64402
